,lemma,buckwalter,frequency,part_of_speech
1777,مَرْحَب,maroHab,2,Noun
1778,مَرْدُود,maroduwd,2,Noun
1779,مِرْصَاد,miroSaAd,2,Noun
1780,مَرْعَىٰ,maroEaY`,2,Noun
1781,مَّرْقُوم,m~aroquwm,2,Adjective
1782,مَّرِيد,m~ariyd,2,Adjective
1783,مَّزِيد,m~aziyd,2,Noun
1784,مَسّ,mas~,2,Noun
1785,مُسَٰفِحِين,musa`fiHiyn,2,Noun
1786,مُسَبِّحُون,musab~iHuwn,2,Noun
1787,مَسْبُوقِين,masobuwqiyn,2,Noun
1788,مُسْتَعَان,musotaEaAn,2,Noun
1789,مُّسْتَمِرّ,m~usotamir~,2,Noun
1790,مُسْتَمِع,musotamiE,2,Noun
1791,مُسْتَهْزِءُون,musotahozi'uwn,2,Noun
1792,مُسْتَوْدَع,musotawodaE,2,Noun
1793,مُسَحَّرِين,musaH~ariyn,2,Noun
1794,مَسْرُور,masoruwr,2,Noun
1795,مَسْكَنَة,masokanap,2,Noun
1796,مُسْلِمَٰت,musolima`t,2,"Noun (1), Adjective (1)"
1797,مُسْوَدّ,musowad~,2,Noun
1798,مُشْتَرِكُون,mu$otarikuwn,2,Noun
1799,مُّشْرِقِين,m~u$oriqiyn,2,Noun
1800,مُشْرِكَة,mu$orikap,2,Noun
1801,مَّشْكُور,m~a$okuwr,2,Noun
1802,مُصْرِخ,muSorix,2,Noun
1803,مَصْفُوفَة,maSofuwfap,2,"Noun (1), Adjective (1)"
1804,مُصَيْطِر,muSayoTir,2,Noun
1805,مُطَلَّقَٰت,muTal~aqa`t,2,Noun
1806,مُطْمَئِنّ,muToma}in~,2,Noun
1807,مُّطْمَئِنَّة,m~uToma}in~ap,2,"Noun (1), Adjective (1)"
1808,مُظْلِم,muZolim,2,Noun
1809,مَعَاذ,maEaA*,2,Noun
1810,مَعَارِج,maEaArij,2,Noun
1811,مَعَٰيِش,maEa`yi$,2,Noun
1812,مَّعْرُوشَٰت,m~aEoruw$a`t,2,"Adjective (1), Noun (1)"
1813,مَعْصِيَت,maEoSiyat,2,Noun
1814,مَّعْلُومَٰت,m~aEoluwma`t,2,Adjective
1815,مَغْلُولَة,magoluwlap,2,Noun
1816,مُّغْنُون,m~ugonuwn,2,Noun
1817,مَفَازَة,mafaAzap,2,Noun
1818,مُفْتَرُون,mufotaruwn,2,Noun
1819,مُّفْتَرًى,m~ufotarFY,2,Noun
1820,مَّفْرُوض,m~aforuwD,2,Adjective
1821,مَقَالِيد,maqaAliyd,2,Noun
1822,مُّقْتَصِد,m~uqotaSid,2,Noun
1823,مُقَدَّس,muqad~as,2,Adjective
1824,مَّقْضِيّ,m~aqoDiy~,2,Adjective
1825,مِكْيَال,mikoyaAl,2,Noun
1826,مُلَٰقِي,mula`qiy,2,Noun
1827,مُلْتَحَد,mulotaHad,2,Noun
1828,مِلْح,miloH,2,Noun
1829,مُلِيم,muliym,2,Noun
1830,مَّمْدُود,m~amoduwd,2,Adjective
1831,مُمَزَّق,mumaz~aq,2,Noun
1832,مَنَازِل,manaAzil,2,Noun
1833,مَّنَّاع,m~an~aAE,2,Adjective
1834,مَّنثُور,m~anvuwr,2,"Noun (1), Adjective (1)"
1835,مُنَجُّو,munaj~uw,2,Noun
1836,مُنزَل,munzal,2,Noun
1837,مَنشُور,man$uwr,2,Noun
1838,مَنصُور,manSuwr,2,Noun
1839,مَّنضُود,m~anDuwd,2,"Noun (1), Adjective (1)"
1840,مُنقَلَب,munqalab,2,Noun
1841,مَهْلِك,maholik,2,Noun
1842,مُهَيْمِن,muhayomin,2,"Noun (1), Adjective (1)"
1843,مَوَاخِر,mawaAxir,2,Noun
1844,مَوَٰلِى,mawa`liY,2,Noun
1845,مُؤَذِّن,mu&a*~in,2,Noun
1846,مُوسِع,muwsiE,2,Noun
1847,مُّؤْصَدَة,m~u&oSadap,2,"Adjective (1), Noun (1)"
1848,مِيرَٰث,miyra`v,2,Noun
1849,مَيْل,mayol,2,Noun
1850,نَآئِمُون,naA^}imuwn,2,Noun
1851,نَادِي,naAdiy,2,Noun
1852,نَاظِرَة,naAZirap,2,Noun
1853,نَافِلَة,naAfilap,2,Noun
1854,نَجِيّ,najiy~,2,Noun
1855,نَّخْلَة,n~axolap,2,Noun
1856,نِدَآء,nidaA^',2,Noun
1857,نَّدَامَة,n~adaAmap,2,Noun
1858,نَّذْر,n~a*or,2,Noun
1859,نَزْغ,nazog,2,Noun
1860,نَسْف,nasof,2,Noun
1861,نُسُك,nusuk,2,Noun
1862,نَسْل,nasol,2,Noun
1863,نُشُوز,nu$uwz,2,Noun
1864,نَضْرَة,naDorap,2,Noun
1865,نُّعَاس,n~uEaAs,2,Noun
1866,نَّعْمَة,n~aEomap,2,Noun
1867,نَفَقَة,nafaqap,2,Noun
1868,نَقْص,naqoS,2,Noun
1869,نَقْض,naqoD,2,Noun
1870,نَقِير,naqiyr,2,Noun
1871,نَّمْل,n~amol,2,Noun
1872,نُّهَىٰ,n~uhaY`,2,Noun
1873,هَادِي,haAdiy,2,Noun
1874,هَٰذَٰن,ha`*a`n,2,Demonstrative pronoun
1875,هَالِك,haAlik,2,Noun
1876,هَبَآء,habaA^',2,Noun
1877,هَدِيَّة,hadiy~ap,2,Noun
1878,هَشِيم,ha$iym,2,Noun
1879,هَيْهَات,hayohaAt,2,Noun
1880,هَيْـَٔة,hayo_#ap,2,Noun
1881,وَاصِب,waASib,2,Noun
1882,وَاقِعَة,waAqiEap,2,Noun
1883,وَٰلِدَة,wa`lidap,2,Noun
1884,وَثَاق,wavaAq,2,Noun
1885,وُثْقَىٰ,wuvoqaY`,2,Adjective
1886,وَجِيه,wajiyh,2,Noun
1887,وَدْق,wadoq,2,Noun
1888,وَدُود,waduwd,2,"Adjective (1), Noun (1)"
1889,وِرْد,wirod,2,Noun
1890,وَرَق,waraq,2,Noun
1891,وَزِير,waziyr,2,Noun
1892,وَسِيلَة,wasiylap,2,Noun
1893,وَطَر,waTar,2,Noun
1894,وَلَٰيَت,wala`yat,2,Noun
1895,وَهْن,wahon,2,Noun
1896,وَيْكَأَنّ,wayoka>an~,2,Accusative particle
1897,يَابِسَٰت,yaAbisa`t,2,Adjective
1898,يَأْجُوج,ya>ojuwj,2,Proper noun
1899,يُسْرَىٰ,yusoraY`,2,Noun
1900,يَنبُوع,yanbuwE,2,Noun
1901,ءَازِفَة,'aAzifap,2,Noun
1902,ءَانِيَة,'aAniyap,2,"Noun (1), Adjective (1)"
1903,آزَر,A^zar,1,Proper noun
1904,آمِّين,A^m~iyn,1,Noun
1905,أَبّ,>ab~,1,Noun
1906,أَبَابِيل,>abaAbiyl,1,Adjective
1907,أَبَارِيق,>abaAriyq,1,Noun
1908,أَبْتَر,>abotar,1,Noun
1909,ٱتِّخَاذ,{t~ixaA*,1,Noun
1910,أَثَٰرَة,>ava`rap,1,Noun
1911,أَثَام,>avaAm,1,Noun
1912,أَثْل,>avol,1,Noun
1913,أَجْدَر,>ajodar,1,Noun
1914,إِجْرَام,<ijoraAm,1,Noun
1915,أَجْل,>ajol,1,Noun
1916,أَجِنَّة,>ajin~ap,1,Noun
1917,أَحِبَّٰٓؤ,>aHib~a`^&,1,Noun
1918,أَحْرَص,>aHoraS,1,Noun
1919,أَحْصَىٰ,>aHoSaY`2,1,Noun
1920,أَحْقَاب,>aHoqaAb,1,Time adverb
1921,أَحْقَاف,>aHoqaAf,1,Proper noun
1922,أَحْمَال,>aHomaAl,1,Noun
1923,أَحْمَد,>aHomad,1,Proper noun
1924,أَحْوَىٰ,>aHowaY`,1,Adjective
1925,ٱخْتِلَٰق,{xotila`q,1,Noun
1926,أُخْدُود,>uxoduwd,1,Noun
1927,أَخْزَىٰ,>axozaY`,1,Noun
1928,أَخْضَر,>axoDar,1,Adjective
1929,أَخْفَى,>axofaY,1,Noun
1930,إِدّ,<id~,1,Adjective
1931,أَدَآء,>adaA^',1,Noun
1932,إِدْبَٰر,<idoba`r,1,Noun
1933,أَدْهَىٰ,>adohaY`,1,Adjective
1934,أَذَٰن,>a*a`n,1,Noun
1935,إِرْبَة,<irobap,1,Noun
1936,أَرْجَآئ,>arojaA^},1,Noun
1937,إِرْصَاد,<iroSaAd,1,Noun
1938,إِرَم,<iram,1,Proper noun
1939,أَزّ,>az~,1,Noun
1940,أَزْر,>azor,1,Noun
1941,ٱسْتِبْدَال,{sotibodaAl,1,Noun
1942,ٱسْتِحْيَآء,{sotiHoyaA^',1,Noun
1943,ٱسْتِعْجَال,{sotiEojaAl,1,Noun
1944,ٱسْتِغْفَار,{sotigofaAr,1,Noun
1945,أَسْر,>asor,1,Noun
1946,أَسْوَد,>asowad,1,Adjective
1947,أَشْرَاط,>a$oraAT,1,Noun
1948,إِشْرَاق,<i$oraAq,1,Noun
1949,أَشَقّ,>a$aq~,1,Adjective
1950,إِصْبَاح,<iSobaAH,1,Noun
1951,أَصْوَاف,>aSowaAf,1,Noun
1952,أَطْغَىٰ,>aTogaY`,1,Noun
1953,أَطْوَار,>aTowaAr,1,Noun
1954,أَعْجَمِين,>aEojamiyn,1,Noun
1955,إِعْصَار,<iEoSaAr,1,Noun
1956,أَفْصَح,>afoSaH,1,Noun
1957,أَفْنَان,>afonaAn,1,Noun
1958,إِقَامَت,<iqaAmat,1,Noun
1959,أَقَاوِيل,>aqaAwiyl,1,Noun
1960,أَقْدَمُون,>aqodamuwn,1,Noun
1961,أَقْفَال,>aqofaAl,1,Noun
1962,أَقْنَىٰ,>aqonaY`,1,Noun
1963,أَقْوَٰت,>aqowa`t,1,Noun
1964,أَكَّٰلُون,>ak~a`luwn,1,Noun
1965,أَكْنَٰن,>akona`n,1,Noun
1966,إِلْحَاد,<iloHaAd,1,Noun
1967,إِلْحَاف,<iloHaAf,1,Noun
1968,أَلَدّ,>alad~,1,Noun
1969,ٱلْعُزَّىٰ,{loEuz~aY`,1,Proper noun
1970,أَلْفَاف,>alofaAf,1,Adjective
1971,أَلْقَٰب,>aloqa`b,1,Noun
1972,ٱللَّٰت,{ll~a`t,1,Proper noun
1973,إِلَّم,<il~am,1,Conditional particle
1974,أَمَّارَة,>am~aArap,1,Noun
1975,أَمَام,>amaAm,1,Time adverb
1976,أَمْت,>amot,1,Noun
1977,أَمْثَل,>amoval,1,Noun
1978,إِمْر,<imor,1,Adjective
1979,أَمَرّ,>amar~,1,Noun
1980,ٱمْرَأ,{mora>,1,Noun
1981,ٱمْرُؤٌا,{moru&NA,1,Noun
1982,إِمْسَاك,<imosaAk,1,Noun
1983,أَمْشَاج,>amo$aAj,1,Adjective
1984,أَمْعَآء,>amoEaA^',1,Noun
1985,أَنَام,>anaAm,1,Noun
1986,أَنَامِل,>anaAmil,1,Noun
1987,ٱنبِعَاث,{nbiEaAv,1,Noun
1988,إِنسِيّ,<insiy~,1,Noun
1989,إِنشَآء,<in$aA^',1,Noun
1990,إِنفَاق,<infaAq,1,Noun
1991,ٱنفِصَام,{nfiSaAm,1,Noun
1992,أَنكَٰث,>anka`v,1,Noun
1993,أَنكَال,>ankaAl,1,Noun
1994,أَنكَر,>ankar,1,Noun
1995,إِنَىٰ,<inaY`,1,Noun
1996,أَهِلَّة,>ahil~ap,1,Noun
1997,أَهْوَن,>ahowan,1,Noun
1998,أَوْبَار,>awobaAr,1,Noun
1999,أَوْلَيَٰن,>awolaya`n,1,Noun
2000,أَوْهَن,>awohan,1,Noun
2001,إِى,<iY,1,Answer particle
2002,إِيَاب,<iyaAb,1,Noun
2003,أَيَٰمَىٰ,>aya`maY`,1,Noun
2004,أَيْقَاظ,>ayoqaAZ,1,Noun
2005,إِين,<iyn,1,Conditional particle
2006,بَآئِس,baA^}is,1,Noun
2007,بَابِل,baAbil,1,Proper noun
2008,بَاد,baAd,1,Noun
2009,بَادُون,baAduwn,1,Noun
2010,بَادِى,baAdiY,1,Noun
2011,بَٰرِزُون,ba`rizuwn,1,Noun
2012,بَارِزَة,baArizap,1,Noun
2013,بَازِغ,baAzig,1,Noun
2014,بَازِغَة,baAzigap,1,Noun
2015,بَاسِرَة,baAsirap,1,Noun
2016,بَاسِقَٰت,baAsiqa`t,1,Noun
2017,بَاطِنَة,baATinap,1,Noun
2018,بَاق,baAq,1,Noun
2019,بَثّ,bav~,1,Noun
2020,بَحِيرَة,baHiyrap,1,Noun
2021,بِدَار,bidaAr,1,Noun
2022,بَدْر,bador,1,Proper noun
2023,بِدْع,bidoE,1,Noun
2024,بَدَل,badal,1,Adjective
2025,بُدْن,budon,1,Noun
2026,بَدَن,badan,1,Noun
2027,بَدْو,badow,1,Noun
2028,بَرَآء,baraA^',1,Noun
2029,بَرَد,barad,1,Noun
2030,بَسّ,bas~,1,Noun
2031,بِسَاط,bisaAT,1,Noun
2032,بَسْط,basoT,1,Noun
2033,بَصَل,baSal,1,Noun
2034,بَطَر,baTar,1,Noun
2035,بَعْل,baEol2,1,Proper noun
2036,بَعُوضَة,baEuwDap,1,Noun
2037,بِغَآء,bigaA^',1,Noun
2038,بِغَال,bigaAl,1,Noun
2039,بُقْعَة,buqoEap,1,Noun
2040,بَقْل,baqol,1,Noun
2041,بُكِيّ,bukiy~,1,Noun
2042,بَكَّة,bak~ap,1,Proper noun
2043,بَلِيغ,baliyg,1,Adjective
2044,بَنَّآء,ban~aA^',1,Noun
2045,بَهْجَة,bahojap,1,Noun
2046,بَوَار,bawaAr,1,Noun
2047,بِئْر,bi}or,1,Noun
2048,بَيْض,bayoD,1,Noun
2049,بِيَع,biyaE,1,Noun
2050,بَيِّن,bay~in,1,Adjective
2051,بَـِٔيس,ba_#iys,1,Adjective
2052,تَٰٓئِبَٰت,ta`^}iba`t,1,Adjective
2053,تَّٰٓئِبُون,t~a`^}ibuwn,1,Noun
2054,تَّٰلِيَٰت,t~a`liya`t,1,Noun
2055,تَبَاب,tabaAb,1,Noun
2056,تَبَار,tabaAr,1,Noun
2057,تَبْتِيل,tabotiyl,1,Noun
2058,تَبْذِير,tabo*iyr,1,Noun
2059,تَبَرُّج,tabar~uj,1,Noun
2060,تَبْصِرَة,taboSirap,1,Noun
2061,تِبْيَٰن,tiboya`n,1,Noun
2062,تَبِيع,tabiyE,1,Noun
2063,تَتْبِيب,tatobiyb,1,Noun
2064,تَتْرَا,tatoraA,1,Noun
2065,تَثْرِيب,tavoriyb,1,Noun
2066,تَحَاوُر,taHaAwur,1,Noun
2067,تَحَصُّن,taHaS~un,1,Noun
2068,تَحِلَّة,taHil~ap,1,Noun
2069,تَخَاصُم,taxaASum,1,Noun
2070,تَخْسِير,taxosiyr,1,Noun
2071,تَخْفِيف,taxofiyf,1,Noun
2072,تَخَوُّف,taxaw~uf,1,Noun
2073,تَخْوِيف,taxowiyf,1,Noun
2074,تَذْكِير,ta*okiyr,1,Noun
2075,تَذْلِيل,ta*oliyl,1,Noun
2076,تَّرَآئِب,t~araA^}ib,1,Noun
2077,تُّرَاث,t~uraAv,1,Noun
2078,تَّرَاقِى,t~araAqiY,1,Noun
2079,تَرَبُّص,tarab~uS,1,Noun
2080,تَسْرِيح,tasoriyH,1,Noun
2081,تَسْمِيَة,tasomiyap,1,Noun
2082,تَسْنِيم,tasoniym,1,Noun
2083,تَشَاوُر,ta$aAwur,1,Noun
2084,تَصْدِيَة,taSodiyap,1,Noun
2085,تَصْلِيَة,taSoliyap,1,Noun
2086,تَضْلِيل,taDoliyl,1,Noun
2087,تَطْهِير,taTohiyr,1,Noun
2088,تَعْس,taEos,1,Noun
2089,تَّعَفُّف,t~aEaf~uf,1,Noun
2090,تَّغَابُن,t~agaAbun,1,Noun
2091,تَغَيُّظ,tagay~uZ,1,Noun
2092,تَفَاخُر,tafaAxur,1,Noun
2093,تَفَٰوُت,tafa`wut,1,Noun
2094,تَفَث,tafav,1,Noun
2095,تَفْرِيق,taforiyq,1,Noun
2096,تَفْسِير,tafosiyr,1,Noun
2097,تَقْتِيل,taqotiyl,1,Noun
2098,تَقْوِيم,taqowiym,1,Noun
2099,تُقَىٰة,tuqaY`p,1,Noun
2100,تَكْبِير,takobiyr,1,Noun
2101,تَكْذِيب,tako*iyb,1,Noun
2102,تَكْلِيم,takoliym,1,Noun
2103,تَّلَاق,t~alaAq,1,Noun
2104,تِلَاوَت,tilaAwat,1,Noun
2105,تَمَام,tamaAm,1,Noun
2106,تَمْهِيد,tamohiyd,1,Noun
2107,تَّنَاد,t~anaAd,1,Noun
2108,تَّنَاوُش,t~anaAwu$,1,Noun
2109,تَنكِيل,tankiyl,1,Noun
2110,تَّهْلُكَة,t~aholukap,1,Noun
2111,تَّوْب,t~awob,1,Noun
2112,تَوْصِيَة,tawoSiyap,1,Noun
2113,تَوْكِيد,tawokiyd,1,Noun
2114,تِّين,t~iyn,1,Noun
2115,ثَّالِثَة,v~aAlivap,1,Noun
2116,ثَامِن,vaAmin,1,Noun
2117,ثَاوِي,vaAwiy,1,Noun
2118,ثُبَات,vubaAt,1,Noun
2119,ثُبُوت,vubuwt,1,Noun
2120,ثَجَّاج,vaj~aAj,1,Adjective
2121,ثَّرَىٰ,v~araY`,1,Noun
2122,ثَمَٰنِى,vama`niY,1,Noun
2123,ثَمَٰنِين,vama`niyn,1,Noun
2124,ثَمَرَة,vamarap,1,Noun
2125,ثُّمُن,v~umun,1,Noun
2126,ثَيِّبَٰت,vay~iba`t,1,Adjective
2127,جَآئِر,jaA^}ir,1,Noun
2128,جَاثِيَة,jaAviyap,1,Noun
2129,جَٰرِيَٰت,ja`riya`t,1,Noun
2130,جَاز,jaAz,1,Noun
2131,جَامِدَة,jaAmidap,1,Noun
2132,جَٰهِلِيَّة,ja`hiliy~ap,1,Noun
2133,جِبَاه,jibaAh,1,Noun
2134,جِبْت,jibot,1,Noun
2135,جَبِين,jabiyn,1,Noun
2136,جَدّ,jad~,1,Noun
2137,جُدَد,judad,1,Noun
2138,جُدُر,judur,1,Noun
2139,جُذَٰذ,ju*a`*,1,Noun
2140,جَذْوَة,ja*owap,1,Noun
2141,جُرُف,juruf,1,Noun
2142,جُرُوح,juruwH,1,Noun
2143,جَزُوع,jazuwE,1,Noun
2144,جِزْيَة,jizoyap,1,Noun
2145,جُفَآء,jufaA^',1,Noun
2146,جِفَان,jifaAn,1,Noun
2147,جَلَآء,jalaA^',1,Noun
2148,جَلَٰبِيب,jala`biyb,1,Noun
2149,جَمّ,jam~,1,Adjective
2150,جَمَال,jamaAl,1,Noun
2151,جِمَٰلَت,jima`lat,1,Noun
2152,جُمُعَة,jumuEap,1,Proper noun
2153,جَمَل,jamal,1,Noun
2154,جُمْلَة,jumolap,1,Noun
2155,جَنَف,janaf,1,Noun
2156,جَنِيّ,janiy~,1,Adjective
2157,جَنَى,janaY,1,Noun
2158,جِهَار,jihaAr,1,Noun
2159,جُهْد,juhod,1,Noun
2160,جَهُول,jahuwl,1,Adjective
2161,جَوّ,jaw~,1,Noun
2162,جَوَاب,jawaAb2,1,Noun
2163,جَوَارِح,jawaAriH,1,Noun
2164,جُودِىّ,juwdiY~,1,Proper noun
2165,جَوْف,jawof,1,Noun
2166,جِيَاد,jiyaAd,1,Adjective
2167,جِيد,jiyd,1,Noun
2168,حَآجّ,HaA^j~,1,Noun
2169,حَآفِّين,HaA^f~iyn,1,Noun
2170,حَاجِز,HaAjiz,1,Noun
2171,حَٰجِزِين,Ha`jiziyn,1,Adjective
2172,حَٰذِرُون,Ha`*iruwn,1,Noun
2173,حَاسِد,HaAsid,1,Noun
2174,حَاضِر,HaADir,1,Noun
2175,حَاضِرِى,HaADiriY,1,Noun
2176,حَافِرَة,HaAfirap,1,Noun
2177,حَام,HaAm,1,Noun
2178,حَٰمِدُون,Ha`miduwn,1,Noun
2179,حَٰمِلَٰت,Ha`mila`t,1,Noun
2180,حَٰمِلِين,Ha`miliyn,1,Noun
2181,حُبُك,Hubuk,1,Noun
2182,حَتْم,Hatom,1,Noun
2183,حَثِيث,Haviyv,1,Noun
2184,حِجّ,Hij~,1,Noun
2185,حِجَج,Hijaj,1,Noun
2186,حُجُرَٰت,Hujura`t,1,Noun
2187,حُجُور,Hujuwr,1,Noun
2188,حِدَاد,HidaAd,1,Noun
2189,حَدَب,Hadab,1,Noun
2190,حَرْد,Harod,1,Noun
2191,حَرَس,Haras,1,Noun
2192,حَرَض,HaraD,1,Noun
2193,حَرْف,Harof,1,Noun
2194,حَرُور,Haruwr,1,Noun
2195,حَرِيص,HariyS,1,Noun
2196,حَسَد,Hasad,1,Noun
2197,حَسْرَت,Hasorat,1,Noun
2198,حَسْرَتَىٰ,HasorataY`,1,Noun
2199,حُسْنَيَيْن,Husonayayon,1,Adjective
2200,حُسُوم,Husuwm,1,Adjective
2201,حَسِير,Hasiyr,1,Noun
2202,حَسِيس,Hasiys,1,Noun
2203,حَصَاد,HaSaAd,1,Noun
2204,حَصَب,HaSab,1,Noun
2205,حَصُور,HaSuwr,1,Noun
2206,حُصُون,HuSuwn,1,Noun
2207,حَصِير,HaSiyr,1,Noun
2208,حَفَدَة,Hafadap,1,Noun
2209,حُفْرَة,Huforap,1,Noun
2210,حُقُب,Huqub,1,Noun
2211,حَقِيق,Haqiyq,1,Noun
2212,حُكَّام,Huk~aAm,1,Noun
2213,حَلَٰٓئِل,Hala`^}il,1,Noun
2214,حَلَّاف,Hal~aAf,1,Noun
2215,حُلْقُوم,Huloquwm,1,Noun
2216,حُلِيّ,Huliy~,1,Noun
2217,حَمَّالَة,Ham~aAlap,1,Noun
2218,حُمْر,Humor,1,Noun
2219,حَمُولَة,Hamuwlap,1,Noun
2220,حَمِئَة,Hami}ap,1,Adjective
2221,حَنَان,HanaAn,1,Noun
2222,حِنث,Hinv,1,Noun
2223,حَنِيذ,Haniy*,1,Adjective
2224,حُنَيْن,Hunayon,1,Proper noun
2225,حَوَايَآ,HawaAyaA^,1,Noun
2226,حُوب,Huwb,1,Noun
2227,حِوَل,Hiwal,1,Noun
2228,حَيْرَان,HayoraAn,1,Noun
2229,حِيلَة,Hiylap,1,Noun
2230,حَيَوَان,HayawaAn,1,Noun
2231,حَيَّة,Hay~ap,1,Noun
2232,خَآصَّة,xaA^S~ap,1,Noun
2233,خَآئِبِين,xaA^}ibiyn,1,Noun
2234,خَآئِضِين,xaA^}iDiyn,1,Noun
2235,خَاتَم,xaAtam,1,Noun
2236,خَٰدِع,xa`diE,1,Noun
2237,خَٰزِنِين,xa`ziniyn,1,Noun
2238,خَاسِرَة,xaAsirap,1,Adjective
2239,خَٰضِعِين,xa`DiEiyn,1,Noun
2240,خَافِضَة,xaAfiDap,1,Noun
2241,خَافِيَة,xaAfiyap,1,Noun
2242,خَٰلِفِين,xa`lifiyn,1,Noun
2243,خَالِيَة,xaAliyap,1,Adjective
2244,خُبْز,xuboz,1,Noun
2245,خَبْء,xabo',1,Noun
2246,خَتَّار,xat~aAr,1,Adjective
2247,خِتَٰم,xita`m,1,Noun
2248,خَدّ,xad~,1,Noun
2249,خَذُول,xa*uwl,1,Adjective
2250,خَرَاب,xaraAb,1,Noun
2251,خَرَاج,xaraAj,1,Noun
2252,خَرَّٰصُون,xar~a`Suwn,1,Noun
2253,خُرْطُوم,xuroTuwm,1,Noun
2254,خُشُب,xu$ub,1,Noun
2255,خُشُوع,xu$uwE,1,Noun
2256,خَصَاصَة,xaSaASap,1,Noun
2257,خَصِمُون,xaSimuwn,1,Adjective
2258,خَضِر,xaDir,1,Noun
2259,خِطْبَة,xiTobap,1,Noun
2260,خَطْفَة,xaTofap,1,Noun
2261,خِطْـٔ,xiTo_#,1,Noun
2262,خُلَطَآء,xulaTaA^',1,Noun
2263,خِلْفَة,xilofap,1,Noun
2264,خُلُود,xuluwd,1,Noun
2265,خُلَّة,xul~ap,1,Noun
2266,خُمُر,xumur,1,Noun
2267,خُمُس,xumus,1,Noun
2268,خَمْط,xamoT,1,Adjective
2269,خَنَّاس,xan~aAs,1,Adjective
2270,خُنَّس,xun~as,1,Noun
2271,خِيَاط,xiyaAT,1,Noun
2272,خِيَام,xiyaAm,1,Noun
2273,دَآئِبَيْن,daA^}ibayon,1,Noun
2274,دَأَب,da>ab,1,Noun
2275,دَاحِضَة,daAHiDap,1,Noun
2276,دَافِق,daAfiq,1,Adjective
2277,دَان,daAn,1,Noun
2278,دُحُور,duHuwr,1,Noun
2279,دِرَاسَت,diraAsat,1,Noun
2280,دَرَٰهِم,dara`him,1,Noun
2281,دَّرْك,d~arok,1,Noun
2282,دَرَك,darak,1,Noun
2283,دُرِّىّ,dur~iY~,1,Adjective
2284,دُسُر,dusur,1,Noun
2285,دَعّ,daE~,1,Noun
2286,دِفْء,difo',1,Noun
2287,دَكَّآء,dak~aA^',1,Noun
2288,دَكَّة,dak~ap,1,Noun
2289,دَلْو,dalow,1,Noun
2290,دُلُوك,duluwk,1,Noun
2291,دَلِيل,daliyl,1,Noun
2292,دِهَاق,dihaAq,1,Adjective
2293,دِّهَان,d~ihaAn,1,Noun
2294,دُّهْن,d~uhon,1,Noun
2295,دَّوَآئِر,d~awaA^}ir,1,Noun
2296,دُولَة,duwlap,1,Noun
2297,دَيَّار,day~aAr,1,Noun
2298,دِينَار,diynaAr,1,Noun
2299,ذَّٰرِيَٰت,*~a`riya`t,1,Noun
2300,ذَّٰكِرَٰت,*~a`kira`t,1,Noun
2301,ذَٰنِك,*a`nik,1,Demonstrative pronoun
2302,ذَاهِب,*aAhib,1,Noun
2303,ذِبْح,*iboH,1,Noun
2304,ذَرْو,*arow,1,Noun
2305,ذُلُل,*ulul,1,Noun
2306,ذَهَاب,*ahaAb,1,Noun
2307,رَآدِّى,raA^d~iY,1,Noun
2308,رَّابِي,r~aAbiy,1,Noun
2309,رَّابِيَة,r~aAbiyap,1,Adjective
2310,رَّاجِفَة,r~aAjifap,1,Noun
2311,رَّادِفَة,r~aAdifap,1,Noun
2312,رَّٰشِدُون,r~a`$iduwn,1,Noun
2313,رَافِع,raAfiE,1,Noun
2314,رَّافِعَة,r~aAfiEap,1,Noun
2315,رَاق,raAq,1,Noun
2316,رِّب,r~ib,1,Noun
2317,رُّب,r~ub,1,Noun
2318,رَبَٰٓئِب,raba`^}ib,1,Noun
2319,رِّبَاط,r~ibaAT,1,Noun
2320,رِبِّيُّون,rib~iy~uwn,1,Noun
2321,رَتْق,ratoq,1,Noun
2322,رَجّ,raj~,1,Noun
2323,رُّجْز,r~ujoz,1,Noun
2324,رُّجْعَىٰٓ,r~ujoEaY`^,1,Noun
2325,رَجِل,rajil,1,Noun
2326,رَجْم,rajom,1,Noun
2327,رُجُوم,rujuwm,1,Noun
2328,رِحْلَة,riHolap,1,Noun
2329,رُحْم,ruHom,1,Noun
2330,رَّحِيق,r~aHiyq,1,Noun
2331,رُخَآء,ruxaA^',1,Noun
2332,رَدْم,radom,1,Noun
2333,رِدْء,rido',1,Noun
2334,رَّزَّاق,r~az~aAq,1,Noun
2335,رَضِيّ,raDiy~,1,Noun
2336,رُطَب,ruTab,1,Noun
2337,رَطْب,raTob,1,Noun
2338,رِّعَآء,r~iEaA^',1,Noun
2339,رِعَايَت,riEaAyat,1,Noun
2340,رَغَب,ragab,1,Noun
2341,رِّفْد,r~ifod,1,Noun
2342,رَفْرَف,raforaf,1,Noun
2343,رَفِيع,rafiyE,1,Adjective
2344,رَفِيق,rafiyq,1,Noun
2345,رَقّ,raq~,1,Noun
2346,رُقُود,ruquwd,1,Noun
2347,رُقِيّ,ruqiy~,1,Noun
2348,رَّقِيم,r~aqiym,1,Noun
2349,رِكَاب,rikaAb,1,Noun
2350,رُكَام,rukaAm,1,Noun
2351,رَّكْب,r~akob,1,Noun
2352,رُكْبَان,rukobaAn,1,Noun
2353,رِكْز,rikoz,1,Noun
2354,رَكُوب,rakuwb,1,Noun
2355,رِمَاح,rimaAH,1,Noun
2356,رَمَاد,ramaAd,1,Noun
